model,VaR_1d,IM_proxy_10d
EWMA(latest),0.014494492083657934,0.04583560851163891
MC Normal (2y),0.015213834903737967,0.04811037024158052
GARCH-N(latest),0.017152311852851168,0.054240372592512555
Gaussian,0.019050690440393002,0.0602435727904381
GARCH-t(latest),0.019811181208996664,0.06264845575875774
MC t df=6 (2y),0.02083837208113739,0.06589671850645723
HS,0.02338826544480635,0.07396018932619919
Cornish-Fisher,0.03261022364355738,0.1031225817211162
