period,start,end,obs,HS_VaR_1D_99,HS_ES_1D_99,worst_1D_return,worst_1D_loss,worst_10D_return,worst_10D_loss
COVID shock,2020-02-01,2020-03-31,40,0.05457385393500131,0.0547010573009045,-0.0547010573009045,0.0547010573009045,-0.1834983427436476,0.1834983427436476
2021-2022 regime,2021-01-01,2022-12-31,496,0.019156470756297603,0.02737626777043737,-0.039255630394550975,0.039255630394550975,-0.07225149391850771,0.07225149391850771
