Date,ClosingPrice,LogReturn,VaR_10D,Ret_10D,Breach
2020-02-27,115.85057351325874,-0.0002986828516562222,0.0419358494245932,-0.045796106266329836,True
2020-02-28,112.63905068020097,-0.02811273688336306,0.04384741019461218,-0.07345372934940447,True
2020-03-02,112.12004170642567,-0.004618366187300906,0.044892009421603964,-0.07270724415210426,True
2020-03-09,110.34900887654773,-0.035900616869913415,0.04701357600055862,-0.060992484210342986,True
2020-03-11,110.02706361677697,-0.002921782616057154,0.05471598484085907,-0.05970351327293061,True
2020-03-12,104.20407713966947,-0.054375111837435194,0.06036088845101092,-0.10624862762544297,True
2020-03-13,106.57625652331586,0.022509496046276382,0.06696701178064121,-0.08344044872751039,True
2020-03-16,101.68489840905228,-0.046981952144445074,0.07308795160272737,-0.1023096639885924,True
2020-03-17,100.8889219470016,-0.007858671541938951,0.07854695623223847,-0.10554996934323044,True
2020-03-18,97.51967843454806,-0.033965941196762134,0.09306374851066218,-0.1643367602869326,True
2020-03-19,96.19924469547426,-0.013632681494334246,0.1039622197194578,-0.18339590656438529,True
2020-03-20,100.55978892457517,0.04433095903749799,0.10590628506715882,-0.14435934154190816,True
2020-03-23,95.20681001447586,-0.054700992275535334,0.12568509172284015,-0.18349729489264713,True
2021-10-29,175.00855922390926,-0.004027269151978452,0.04458252061478971,-0.052224825337248655,True
2022-02-24,167.81360941261642,-0.03925556426028775,0.04121002052049097,-0.07167739569985561,True
2022-03-03,169.19804886747903,-0.00564927824967892,0.04458252061478971,-0.04906220245416158,True
2022-03-04,167.18448380014888,-0.011972019483504305,0.04751452606187877,-0.05889523272116154,True
2022-03-07,165.548277371486,-0.009835037654783597,0.050675140124535986,-0.0672453630459108,True
2022-05-13,170.54429964881115,0.002268163586853913,0.05562673310304421,-0.057212527237477155,True
2022-06-17,164.82558193809663,-0.014058766967427352,0.05807070703415619,-0.06315988578488664,True
2023-10-04,225.75875422695836,-0.004276417363621014,0.02364116497330462,-0.029027509969347033,True
2023-10-26,223.4500654471688,-0.012387450770838858,0.02364116497330462,-0.026090738111403507,True
2023-11-01,224.76971955885406,-0.005090198677506397,0.02495854406913102,-0.027990980940389387,True
